Time,Mx,My,Mz,Vx,Vy,Vz
1758118433.6937156,132.45499999999998,69.573,-191.88399999999996,16,16,-20
1758118436.766718,132.711,69.67999999999999,-183.532,16,16,-19
1758118439.8339298,132.73399999999998,70.428,-174.189,16,16,-18
1758118442.9018557,132.911,70.616,-164.848,16,16,-17
1758118445.9717505,133.05599999999998,70.46699999999998,-156.05400000000003,16,16,-16
1758118449.040651,133.28300000000002,70.80100000000002,-147.398,16,16,-15
1758118452.1137571,132.829,71.175,-138.55,16,16,-14
1758118455.170524,132.97199999999998,71.60700000000001,-129.533,16,16,-13
1758118458.1467113,119.869,71.66000000000001,-120.66000000000001,16,16,-12
1758118461.2173078,132.95300000000003,71.787,-111.78000000000002,16,16,-11
1758118464.1779237,119.88400000000001,72.313,-102.463,16,16,-10
1758118467.2509592,132.95,72.56299999999999,-92.96300000000001,16,16,-9
1758118470.3246424,133.098,72.99799999999999,-84.228,16,16,-8
1758118473.3953671,133.33300000000003,73.41600000000001,-74.80600000000001,16,16,-7
1758118476.464921,133.19199999999998,73.476,-65.71700000000001,16,16,-6
1758118479.5308938,133.277,73.47299999999998,-56.98499999999999,16,16,-5
1758118482.4891987,120.248,73.788,-47.549,16,16,-4
1758118485.56925,133.314,73.91300000000001,-39.073,16,16,-3
1758118488.527004,126.92200000000003,74.36399999999999,-29.750999999999998,16,16,-2
1758118491.5937698,133.578,74.52000000000001,-20.712,16,16,-1
1758118494.6610935,133.238,74.61500000000001,-11.441,16,16,0
1758118497.6308084,132.998,75.01599999999999,-11.251999999999999,16,16,1
1758118500.6999042,133.20700000000002,75.08500000000001,-1.7710000000000001,16,16,2
1758118503.6565921,124.723,75.43,1.9979999999999998,16,16,3
1758118506.7384026,133.053,75.98299999999999,11.024000000000001,16,16,4
1758118509.8078668,133.13600000000002,76.179,20.871000000000002,16,16,5
1758118512.8776598,133.172,76.148,32.885,16,16,6
1758118515.9477952,133.58399999999997,76.62100000000001,42.593999999999994,16,16,7
1758118519.0042436,133.666,76.62199999999999,54.65500000000001,16,16,8
1758118522.086306,133.658,77.321,63.425,16,16,9
1758118525.1418145,134.079,77.174,72.06400000000001,16,16,10
1758118528.2101367,133.795,77.091,80.964,16,16,11
1758118531.2876034,134.229,77.672,90.27600000000001,16,16,12
1758118534.3615232,134.23899999999998,78.07,99.631,16,16,13
1758118537.4196534,134.274,78.52300000000001,108.46900000000001,16,16,14
1758118540.5021665,134.41,78.36699999999999,117.131,16,16,15
1758118543.5687954,134.39700000000002,78.571,124.777,16,16,16
1758118546.6347964,134.282,78.974,132.686,16,16,17
1758118549.7076786,134.504,79.49400000000001,141.78500000000003,16,16,18
1758118552.7757883,134.308,79.767,150.48499999999999,16,16,19
1758118555.7510684,120.654,80.304,160.18400000000003,16,16,20
1758118558.8170955,132.083,76.29199999999999,-192.393,16,17,-20
1758118561.8784637,131.925,76.572,-183.41,16,17,-19
1758118564.9513958,132.083,76.88899999999998,-174.473,16,17,-18
1758118567.9142182,119.23099999999997,77.33599999999998,-164.927,16,17,-17
1758118570.9911952,132.385,77.37,-156.08300000000003,16,17,-16
1758118574.0595994,132.36999999999998,77.739,-147.511,16,17,-15
1758118577.0367222,122.453,78.14099999999999,-138.435,16,17,-14
1758118580.1040301,132.4,78.406,-129.826,16,17,-13
1758118583.1698127,132.49200000000002,78.347,-120.50399999999999,16,17,-12
1758118586.2354121,132.355,78.682,-112.223,16,17,-11
1758118589.3078241,132.538,78.916,-102.819,16,17,-10
1758118592.378099,132.688,79.162,-93.98400000000001,16,17,-9
1758118595.444977,132.58599999999996,79.23600000000002,-84.77700000000002,16,17,-8
1758118598.4190795,119.31999999999998,79.836,-75.388,16,17,-7
1758118601.4885051,132.537,79.944,-66.407,16,17,-6
1758118604.5541615,132.704,79.99900000000001,-57.645,16,17,-5
1758118607.6240566,132.84700000000004,80.35799999999999,-48.635999999999996,16,17,-4
1758118610.694793,133.06900000000002,80.79400000000001,-39.252,16,17,-3
1758118613.7625372,132.679,80.974,-30.664000000000005,16,17,-2
1758118616.831034,132.762,81.25999999999999,-21.521,16,17,-1
1758118619.8962307,132.88600000000002,81.876,-12.693999999999999,16,17,0
1758118622.9665117,132.986,81.82,-6.455,16,17,1
1758118626.0224342,132.79500000000002,82.269,0.26599999999999996,16,17,2
1758118629.0911138,132.997,82.61500000000001,6.747,16,17,3
1758118632.1599727,133.252,82.82300000000001,16.578,16,17,4
1758118635.1373744,133.40500000000003,83.013,25.181,16,17,5
1758118638.1964474,133.224,82.98899999999999,33.999,16,17,6
1758118641.1718173,123.133,83.06199999999998,42.775999999999996,16,17,7
1758118644.2393441,133.362,83.263,51.29299999999999,16,17,8
1758118647.3045363,133.26399999999998,83.693,60.208000000000006,16,17,9
1758118650.2785504,120.61499999999998,83.93400000000001,69.05699999999999,16,17,10
1758118653.346842,133.768,84.143,77.58,16,17,11
1758118656.4126565,133.69,83.97200000000001,88.277,16,17,12
1758118659.479454,133.8,83.86699999999999,96.34200000000001,16,17,13
1758118662.5507667,133.88299999999998,84.482,106.751,16,17,14
1758118665.620676,134.176,84.693,114.44800000000001,16,17,15
1758118668.691394,134.099,85.59899999999998,123.53799999999998,16,17,16
1758118671.7579184,134.265,85.798,131.331,16,17,17
1758118674.8440976,134.345,85.737,139.826,16,17,18
1758118677.895919,134.252,85.958,151.01500000000001,16,17,19
1758118680.969364,134.305,86.185,159.48399999999998,16,17,20
1758118684.0362256,132.294,82.697,-192.38400000000001,16,18,-20
1758118687.1062224,132.287,82.869,-183.25000000000006,16,18,-19
1758118690.1767008,132.346,83.261,-174.792,16,18,-18
1758118693.2578187,132.467,83.75,-165.349,16,18,-17
1758118696.3272204,132.562,83.679,-156.336,16,18,-16
1758118699.381288,132.881,84.04700000000001,-147.23999999999998,16,18,-15
1758118702.3635867,132.663,84.174,-138.786,16,18,-14
1758118705.4337804,132.901,84.46,-130.014,16,18,-13
1758118708.4930236,132.801,84.643,-121.33800000000001,16,18,-12
1758118711.5619857,132.916,84.953,-111.758,16,18,-11
1758118714.6435537,132.847,85.31500000000001,-102.522,16,18,-10
1758118717.7111092,132.91,85.41,-93.726,16,18,-9
1758118720.784456,132.97899999999998,85.647,-84.46,16,18,-8
1758118723.8406348,133.032,86.054,-74.831,16,18,-7
1758118726.9191618,133.053,86.31500000000001,-66.361,16,18,-6
1758118729.978552,132.98700000000002,86.41499999999999,-57.00300000000001,16,18,-5
1758118733.0460339,133.05299999999997,86.66900000000001,-47.349000000000004,16,18,-4
1758118736.1133337,133.238,86.861,-38.604,16,18,-3
1758118739.085821,133.21,87.261,-29.851,16,18,-2
1758118742.1501513,133.446,87.30200000000002,-20.764999999999997,16,18,-1
1758118745.2245166,133.386,87.561,-11.874,16,18,0
1758118748.2897937,133.552,87.55499999999999,-4.426,16,18,1
1758118751.3581018,133.522,87.99,4.596,16,18,2
1758118754.3296525,123.88699999999999,88.362,12.617,16,18,3
1758118757.3999,133.659,88.946,20.899000000000004,16,18,4
1758118760.460261,133.589,88.53099999999999,29.345,16,18,5
1758118763.423587,121.468,88.886,37.617000000000004,16,18,6
1758118766.5003397,134.405,89.66,46.095000000000006,16,18,7
1758118769.5617404,134.099,89.507,54.48699999999999,16,18,8
1758118772.641469,134.37900000000002,90.001,62.642999999999994,16,18,9
1758118775.699139,134.37199999999999,90.126,71.25300000000001,16,18,10
1758118778.7637515,134.277,90.33599999999998,80.987,16,18,11
1758118781.8500981,134.13100000000003,90.636,89.34799999999998,16,18,12
1758118784.9090412,134.411,90.901,98.78200000000001,16,18,13
1758118787.9845812,134.399,91.177,106.31299999999999,16,18,14
1758118791.0452304,134.31900000000002,91.628,115.792,16,18,15
1758118794.1282732,134.55900000000003,91.778,125.25600000000001,16,18,16
1758118797.1869338,134.19799999999998,91.962,133.466,16,18,17
1758118800.2632315,134.762,92.441,142.467,16,18,18
1758118803.3343432,134.79199999999997,92.352,150.52900000000002,16,18,19
1758118806.396031,134.87600000000003,92.93199999999999,158.46800000000002,16,18,20
1758118809.3715174,119.61099999999999,89.101,-193.27800000000002,16,19,-20
1758118812.4399703,132.726,89.57700000000001,-184.38000000000002,16,19,-19
1758118815.4138117,119.47600000000003,89.403,-175.83199999999997,16,19,-18
1758118818.4714732,132.715,89.845,-166.11999999999998,16,19,-17
1758118821.4504373,128.806,89.98500000000001,-157.04299999999998,16,19,-16
1758118824.5107899,132.935,90.259,-148.711,16,19,-15
1758118827.4858806,126.606,90.49100000000001,-139.411,16,19,-14
1758118830.4483826,120.78299999999999,90.714,-131.176,16,19,-13
1758118833.5207772,132.848,91.26599999999999,-121.72,16,19,-12
1758118836.5897374,132.91000000000003,91.32200000000002,-112.58100000000002,16,19,-11
1758118839.6602345,133.192,91.80799999999999,-103.104,16,19,-10
1758118842.6212113,120.33699999999999,92.124,-94.489,16,19,-9
1758118845.589605,119.82200000000003,92.078,-85.226,16,19,-8
1758118848.657523,133.31,92.362,-76.17600000000002,16,19,-7
1758118851.7346897,133.12900000000002,92.63999999999999,-66.497,16,19,-6
1758118854.7930467,133.256,93.03999999999999,-57.65599999999999,16,19,-5
1758118857.7723897,133.655,93.292,-48.801,16,19,-4
1758118860.8307402,133.502,93.66000000000001,-39.47,16,19,-3
1758118863.8975275,133.566,93.76899999999999,-30.314000000000004,16,19,-2
1758118866.874899,133.611,93.99699999999999,-21.141999999999996,16,19,-1
1758118869.9389389,133.23999999999998,94.04100000000001,-12.633,16,19,0
1758118873.0049224,133.378,94.522,-4.008,16,19,1
1758118875.971481,120.333,94.58999999999999,4.516,16,19,2
1758118879.0373504,133.54899999999995,94.88700000000001,12.782999999999998,16,19,3
1758118882.11679,133.73000000000002,95.07300000000001,20.705,16,19,4
1758118885.1834633,133.801,95.457,29.426,16,19,5
1758118888.2518933,133.749,95.65,37.751999999999995,16,19,6
1758118891.3226116,133.851,95.804,46.544,16,19,7
1758118894.3782806,133.882,96.18699999999998,54.547000000000004,16,19,8
1758118897.4468741,134.026,96.189,63.036,16,19,9
1758118900.5262291,134.317,96.67199999999998,71.605,16,19,10
1758118903.5846345,134.06,96.846,80.125,16,19,11
