TestSat.UTCModJulian      TestSat.A1ModJulian       TestSat.Earth.Latitude    TestSat.Earth.Longitude   TestSat.Earth.Altitude    
30910.04163347222         30910.04206211090         0.001164863827104492      162.0299634364679         417.5935975960820         
30910.04232791666         30910.04275655534         3.059406484619954         164.1859956288053         417.3059395363298         
30910.04315123134         30910.04357987002         6.677779688158386         166.7611737215072         417.0939936295135         
30910.04417978721         30910.04460842588         11.17286176436920         170.0409125490957         417.0221909104439         
30910.04522950139         30910.04565814006         15.71202291507220         173.5057380219729         417.1576834551979         
30910.04628602214         30910.04671466081         20.20771131475570         177.1675564014105         417.4852914494604         
30910.04734025249         30910.04776889116         24.59361090211013         -178.9432611695787        417.9738195989567         
30910.04839421075         30910.04882284942         28.84655898203922         -174.7520990115603        418.5876909541075         
30910.04857791666         30910.04900655533         29.57163663551515         -173.9850554026601        418.7045758000704         
30910.04883488577         30910.04926352445         30.57681169978056         -172.8920091010375        418.8719865876392         
30910.04918112571         30910.04960976438         31.91340796477969         -171.3802317669875        419.1037599108731         
30910.04973103372         30910.05015967239         33.99041632254885         -168.8802787713965        419.4829718942774         
30910.05039025817         30910.05081889685         36.39700799237830         -165.7080021417398        419.9477400835885         
30910.05121488960         30910.05164352828         39.25887091603678         -161.4392509830449        420.5291225105884         
30910.05218649316         30910.05261513183         42.37808638061760         -155.9288342448270        421.1878078079044         
30910.05281561494         30910.05324425361         44.22558454426388         -152.0570795553762        421.5848106436470         
30910.05302744047         30910.05345607915         44.81334317665433         -150.6970255469174        421.7114811292668         
30910.05324750765         30910.05367614633         45.40440263458625         -149.2533755999562        421.8388215183304         
30910.05356635501         30910.05399499369         46.22371717820548         -147.1058510845781        422.0149852419072         
30910.05405050289         30910.05447914156         47.37870390235712         -143.7183861593972        422.2617591397802         
30910.05478254801         30910.05521118669         48.90278825367508         -138.3121078264639        422.5815850124272         
30910.05552236110         30910.05595099977         50.14322283642812         -132.5241970489496        422.8316700946871         
30910.05640265989         30910.05683129857         51.18637058693034         -125.2823214593869        423.0234914643097         
30910.05744158767         30910.05787022634         51.76362122013696         -116.4111438441768        423.0914764915606         
30910.05849736735         30910.05892600603         51.59496991532646         -107.3103339293291        422.9792670743527         
30910.05955642083         30910.05998505950         50.67099277027858         -98.40512681203001        422.6860255519541         
30910.06061405344         30910.06104269212         49.04538974142191         -89.99824701287142        422.2247853305125         
30910.06167551252         30910.06210415119         46.78863922647523         -82.21840815756232        421.6138352344133         
30910.06246680554         30910.06289544421         44.75451320325508         -76.89050545209921        421.0790102286492         
30910.06348839867         30910.06391703734         41.75361081805926         -70.60466739335922        420.3143585829985         
30910.06454891219         30910.06497755086         38.26775778187744         -64.73799185743626        419.4677448077073         
30910.06560657175         30910.06603521043         34.48886968836001         -59.47700997904889        418.6127351699824         
30910.06667198674         30910.06710062542         30.43990904013476         -54.68344848583445        417.7865979900571         
30910.06772965543         30910.06815829411         26.23106177060312         -50.33982991109082        417.0468576451567         
30910.06879134456         30910.06921998324         21.85865235428689         -46.31491523698736        416.4284118786609         
30910.06941124998         30910.06983988866         19.25143035515855         -44.09092435094912        416.1407524441083         
30910.07014869628         30910.07057733496         16.10812830277835         -41.54381432080114        415.8810553065787         
30910.07094343918         30910.07137207786         12.67978721342576         -38.89635226617267        415.7126004995034         
30910.07182218789         30910.07225082656         8.851977983911500         -36.05871376617335        415.6729965755530         
30910.07285503703         30910.07328367571         4.319954883419406         -32.80426441276052        415.8361370550010         
30910.07390518629         30910.07433382497         -0.3054268479393007       -29.53939633879644        416.2420242558301         
30910.07496460021         30910.07539323888         -4.969536549071038        -26.24299555108695        416.8955451884713         
30910.07602225552         30910.07645089419         -9.603684733752793        -22.90099720294956        417.7811776403314         
30910.07635569443         30910.07678433311         -11.05672167970616        -21.82885733163594        418.1055530697440         
30910.07701146270         30910.07744010138         -13.89918287155471        -19.68468657142799        418.8016929516316         
30910.07795703994         30910.07838567862         -17.95263158159405        -16.48716829184041        419.9277955069747         
30910.07899847404         30910.07942711272         -22.33534295620146        -12.77572946876724        421.3057168282539         
30910.08006226632         30910.08049090499         -26.69541302723949        -8.717030926730706        422.8197596514428         
30910.08111736146         30910.08154600013         -30.86858644438088        -4.352569280011627        424.3790059687508         
30910.08217621523         30910.08260485391         -34.86292615008390        0.4471276024344081        425.9492108125733         
30910.08323911956         30910.08366775823         -38.62544416794560        5.775298133145195         427.4771540911652         
30910.08330013887         30910.08372877755         -38.83266888449545        6.098554587849994         427.5622908573150         
30910.08342711462         30910.08385575330         -39.26055239571727        6.777636101822818         427.7383378428813         
30910.08361588728         30910.08404452596         -39.88813518748366        7.803495713577743         427.9971195919470         
30910.08392434729         30910.08435298597         -40.89065992861146        9.522778651364268         428.4117255873753         
30910.08429180804         30910.08472044671         -42.04547441930590        11.64290355182763         428.8907894272970         
30910.08477049095         30910.08519912962         -43.48023944333943        14.52677828425283         429.4875083335710         
30910.08530977756         30910.08573841623         -44.99334734127615        17.94736602003076         430.1178328587503         
30910.08590821587         30910.08633685454         -46.53056286971111        21.96175161684078         430.7586582381136         
30910.08655077134         30910.08697941002         -47.99648633351840        26.52927341469052         431.3702458477601         
30910.08753692392         30910.08796556259         -49.82736627557857        34.03431977423467         432.1377145381766         
30910.08859303275         30910.08902167143         -51.15431154156315        42.63816423525252         432.7075952194318         
30910.08965309259         30910.09008173126         -51.75952450898012        51.65627994620981         432.9990754588234         
